drug,n_cells,spearman_model,spearman_resid,spearman_baseline
Refametinib,21,0.3701298701298701,0.5389610389610389,-1.0
Remodelin,10,0.23636363636363633,0.4787878787878787,-0.9999999999999999
Ribociclib,20,-0.048120300751879695,0.15488721804511277,-1.0
Romidepsin,19,0.2982456140350877,0.4385964912280701,-1.0
Rucaparib,21,0.1961038961038961,0.35974025974025975,-1.0
Ruxolitinib,20,0.24511278195488717,0.3639097744360902,-1.0
SB216763,21,0.1987012987012987,0.3506493506493506,-1.0
SB590885,21,-0.04675324675324675,0.15584415584415584,-1.0
SCH772984,21,0.38831168831168833,0.5272727272727272,-1.0
SGC-CBP30,19,0.25263157894736843,0.3315789473684211,-1.0
SGC0946,21,-0.2324675324675325,-0.06623376623376624,-1.0
SN-38,20,-0.14285714285714285,0.06616541353383458,-1.0
Sabutoclax,20,0.32481203007518794,0.5263157894736841,-1.0
Sapitinib,21,0.062337662337662345,0.3103896103896104,-1.0
Savolitinib,21,-0.03636363636363636,0.12207792207792208,-1.0
Schweinfurthin A,19,-0.01754385964912281,0.31578947368421056,-1.0
Selumetinib,40,0.39235766518867154,0.6047321659440617,-0.9386417517415062
Sepantronium bromide,21,-0.5051948051948052,-0.34285714285714286,-1.0
Serdemetan,21,0.015584415584415586,0.2727272727272727,-1.0
Sinularin,19,0.07719298245614034,0.24912280701754386,-1.0
Sorafenib,21,-0.007792207792207793,0.2038961038961039,-1.0
Staurosporine,21,0.01038961038961039,0.15584415584415584,-1.0
TW 37,10,0.10303030303030303,0.2606060606060606,-0.9999999999999999
Talazoparib,21,-0.0987012987012987,0.06623376623376624,-1.0
Tamoxifen,21,-0.06493506493506493,0.08311688311688312,-1.0
Tanespimycin,21,0.2727272727272727,0.37272727272727274,-1.0
Taselisib,21,0.14675324675324675,0.34415584415584416,-1.0
Telomerase Inhibitor IX,21,0.11038961038961038,0.24545454545454545,-1.0
Temozolomide,21,0.18051948051948052,0.36233766233766235,-1.0
Temsirolimus,21,-0.033766233766233764,0.187012987012987,-1.0
Teniposide,19,-0.10350877192982455,0.16140350877192983,-1.0
Topotecan,19,-0.3140350877192983,-0.06842105263157894,-1.0
Tozasertib,20,-0.02857142857142857,0.12932330827067667,-1.0
Trametinib,21,0.031168831168831172,0.35844155844155845,-1.0
UMI-77,20,0.009022556390977442,0.09172932330827067,-1.0
UNC0379,19,0.09473684210526316,0.2543859649122807,-1.0
UNC0638,18,0.44685242518059853,0.5830753353973168,-1.0
Ulixertinib,42,0.141113550210081,0.3279673546261883,-0.7850454977204507
Uprosertib,41,0.19947697206275194,0.333042846713161,-0.9438538896640527
VE-822,20,0.07218045112781954,0.27368421052631575,-1.0
VE821,21,0.029870129870129873,0.22337662337662337,-1.0
VX-11e,21,0.051948051948051945,0.20519480519480518,-1.0
Veliparib,21,0.15324675324675324,0.33506493506493507,-1.0
Venetoclax,21,0.1155844155844156,0.2922077922077922,-1.0
Vinblastine,20,-0.16992481203007515,0.20751879699248119,-1.0
Vinorelbine,21,-0.3246753246753247,-0.05324675324675325,-1.0
Vismodegib,21,0.22857142857142856,0.42727272727272725,-1.0
Vorinostat,21,0.11948051948051949,0.2961038961038961,-1.0
WEHI-539,20,-0.3969924812030075,-0.10075187969924812,-1.0
WIKI4,21,-0.22987012987012984,-0.15454545454545454,-1.0
WZ4003,20,0.18496240601503755,0.3533834586466165,-1.0
Wee1 Inhibitor,21,0.04285714285714286,0.212987012987013,-1.0
Wnt-C59,20,0.32481203007518794,0.4947368421052631,-1.0
XAV939,20,0.15789473684210525,0.33082706766917286,-1.0
YK-4-279,21,0.3,0.4285714285714285,-1.0
ZM447439,21,0.18181818181818182,0.35194805194805195,-1.0
Zoledronate,19,0.256140350877193,0.368421052631579,-1.0
alpha-lipoic acid,20,0.19849624060150375,0.4481203007518797,-1.0
glutathione,20,0.07969924812030074,0.28721804511278193,-1.0
