drug,n_cells,spearman_model,spearman_resid,spearman_baseline
MG-132,21,-0.15324675324675324,-0.0974025974025974,-1.0
MIM1,20,-0.018045112781954885,0.16691729323308271,-1.0
MIRA-1,21,-0.07142857142857142,0.07662337662337662,-1.0
MK-1775,21,-0.21688311688311687,-0.12467532467532469,-1.0
MK-2206,21,-0.464935064935065,-0.33896103896103896,-1.0
MK-8776,21,-0.23636363636363636,-0.06103896103896104,-1.0
ML323,20,-0.19248120300751878,-0.06766917293233082,-1.0
MN-64,20,0.010526315789473682,0.19849624060150375,-1.0
Methotrexate,20,0.3804511278195489,0.6676691729323309,-1.0
Mirin,20,-0.22105263157894736,-0.12030075187969923,-1.0
Mitoxantrone,19,-0.5526315789473685,-0.16315789473684209,-1.0
Motesanib,21,-0.22467532467532467,-0.09090909090909091,-1.0
Mycophenolic acid,20,-0.09172932330827067,0.1894736842105263,-1.0
N-acetyl cysteine,20,-0.19999999999999998,-0.05864661654135337,-1.0
NU7441,21,-0.6142857142857143,-0.5077922077922078,-1.0
NVP-ADW742,21,0.09220779220779221,0.24545454545454545,-1.0
Navitoclax,21,0.016883116883116882,0.20519480519480518,-1.0
Nelarabine,19,-0.46842105263157896,-0.3175438596491228,-1.0
Nilotinib,21,-0.4701298701298702,-0.34285714285714286,-1.0
Niraparib,20,-0.47368421052631576,-0.21954887218045113,-1.0
OF-1,20,-0.13684210526315788,0.1413533834586466,-1.0
OSI-027,21,-0.1064935064935065,-0.03896103896103896,-1.0
OTX015,20,-0.22406015037593985,0.060150375939849614,-1.0
Obatoclax Mesylate,20,-0.26616541353383455,-0.13834586466165413,-1.0
Olaparib,21,-0.27662337662337666,-0.10389610389610389,-1.0
Osimertinib,21,0.007792207792207793,0.14285714285714285,-1.0
Oxaliplatin,40,-0.11013571819473711,0.08919772573316305,-0.9187365750515794
P22077,21,0.12077922077922078,0.28051948051948056,-1.0
PCI-34051,20,-0.34736842105263155,-0.21654135338345865,-1.0
PD0325901,21,0.15584415584415584,0.4077922077922078,-1.0
PD173074,21,-0.3532467532467533,-0.2545454545454545,-1.0
PF-4708671,20,-0.20751879699248119,-0.08571428571428572,-1.0
PFI-1,21,-0.45974025974025967,-0.28441558441558445,-1.0
PFI3,20,-0.1533834586466165,-0.05413533834586466,-1.0
PLX-4720,21,-0.13116883116883118,0.044155844155844164,-1.0
POMHEX,19,-0.014035087719298246,0.16842105263157894,-1.0
PRIMA-1MET,20,-0.3789473684210526,-0.26315789473684204,-1.0
PRT062607,20,-0.010526315789473682,0.17593984962406017,-1.0
Paclitaxel,21,-0.11298701298701298,-0.011688311688311687,-1.0
Palbociclib,21,-0.3571428571428571,-0.24155844155844156,-1.0
Pevonedistat,21,-0.05584415584415584,0.21688311688311687,-1.0
Pictilisib,21,-0.16493506493506493,-0.1064935064935065,-1.0
Podophyllotoxin bromide,19,-0.5228070175438596,-0.26842105263157895,-1.0
Pyridostatin,21,-0.36883116883116884,-0.24935064935064938,-1.0
RO-3306,21,-0.5428571428571428,-0.3844155844155844,-1.0
RVX-208,20,-0.2150375939849624,-0.07368421052631578,-1.0
Rapamycin,21,-0.4285714285714285,-0.2506493506493506,-1.0
Refametinib,21,0.24285714285714283,0.4727272727272727,-1.0
Remodelin,10,-0.6121212121212121,-0.18787878787878787,-0.9999999999999999
Ribociclib,20,-0.1609022556390977,-0.016541353383458645,-1.0
Romidepsin,19,0.06842105263157894,0.15438596491228068,-1.0
Rucaparib,21,-0.05584415584415584,0.0935064935064935,-1.0
Ruxolitinib,20,-0.21954887218045113,-0.06165413533834586,-1.0
SB216763,21,-0.16753246753246753,0.031168831168831172,-1.0
SB590885,21,-0.2584415584415584,-0.05324675324675325,-1.0
SCH772984,21,0.0,0.2701298701298701,-1.0
SGC-CBP30,19,0.0456140350877193,0.07894736842105264,-1.0
SGC0946,21,0.011688311688311687,0.12207792207792208,-1.0
SN-38,20,-0.3278195488721804,-0.23759398496240602,-1.0
Sabutoclax,20,-0.15037593984962402,0.0781954887218045,-1.0
Sapitinib,21,0.12857142857142856,0.3116883116883117,-1.0
Savolitinib,21,0.28181818181818186,0.34155844155844156,-1.0
Schweinfurthin A,19,-0.30701754385964913,0.01754385964912281,-1.0
Selumetinib,40,0.14731708597403453,0.33660404921409426,-0.9386417517415062
Sepantronium bromide,21,-0.12337662337662336,-0.059740259740259746,-1.0
Serdemetan,21,-0.13766233766233765,-0.0038961038961038965,-1.0
Sinularin,19,-0.5421052631578946,-0.4333333333333333,-1.0
Sorafenib,21,-0.6285714285714287,-0.5103896103896104,-1.0
Staurosporine,21,-0.28051948051948056,-0.21688311688311687,-1.0
TW 37,10,0.18787878787878787,0.4424242424242424,-0.9999999999999999
Talazoparib,21,-0.44285714285714284,-0.2038961038961039,-1.0
Tamoxifen,21,-0.08961038961038961,-0.06103896103896104,-1.0
Tanespimycin,21,0.14935064935064934,0.3025974025974026,-1.0
Taselisib,21,-0.12467532467532469,-0.011688311688311687,-1.0
Telomerase Inhibitor IX,21,-0.12337662337662336,0.1012987012987013,-1.0
Temozolomide,21,-0.15974025974025974,-0.059740259740259746,-1.0
Temsirolimus,21,-0.3025974025974026,-0.20909090909090908,-1.0
Teniposide,19,-0.2771929824561403,-0.005263157894736842,-1.0
Topotecan,19,-0.3719298245614035,-0.1719298245614035,-1.0
Tozasertib,20,-0.6300751879699248,-0.4766917293233082,-1.0
Trametinib,21,0.15064935064935067,0.4051948051948052,-1.0
UMI-77,20,-0.16240601503759397,0.022556390977443608,-1.0
UNC0379,19,-0.20350877192982456,-0.021052631578947368,-1.0
UNC0638,18,-0.05675954592363261,0.08771929824561403,-1.0
Ulixertinib,42,-0.10088807842605793,0.03730588109002143,-0.7850454977204507
Uprosertib,41,-0.43278133274453695,-0.2657368054402395,-0.9438538896640527
VE-822,20,-0.5353383458646617,-0.3142857142857143,-1.0
VE821,21,-0.2350649350649351,0.01038961038961039,-1.0
VX-11e,21,-0.10519480519480517,0.062337662337662345,-1.0
Veliparib,21,-0.15324675324675324,-0.05454545454545454,-1.0
Venetoclax,21,-0.22467532467532467,-0.08311688311688312,-1.0
Vinblastine,20,-0.6872180451127818,-0.6496240601503759,-1.0
Vinorelbine,21,-0.535064935064935,-0.3987012987012987,-1.0
Vismodegib,21,-0.13896103896103898,-0.015584415584415586,-1.0
Vorinostat,21,-0.29740259740259745,-0.16233766233766234,-1.0
WEHI-539,20,0.2120300751879699,0.3789473684210526,-1.0
